bidNtceNo,bidNtceOrd,bidNtceNm,sucsfbidRate,rlOpengDt,ntceInsttNm,dminsttNm,cntrctCnclsMthdN,bidBeginDt,bidQlfctRgstDt,bidClseDt,presmptPrce,prearngPrceDcsnMthdNm,sucsfbidLwltRate,ntceInsttOfclNm,bidNtceDtlUrl,lcnsLmtNm,bizs,prtcptPsblRgnNm
R25BK00665049,000,광복80주년 KTV대기획 시리즈 외주프로그램(다큐멘터리3) 제작,,2025-03-12 11:00:00,조달청 대전지방조달청,문화체육관광부 한국정책방송원,,2025-03-10 10:00:00,2025-03-11 18:00,2025-03-12 10:00:00,177272727,비예가,,이상민,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00665049&bidPbancOrd=000,방송영상독립제작자/3230,"[Row(opengRank='1', prcbdrBizno='1078724449', prcbdrNm='(주)이큐브미디어', bidprcAmt='193500000', bidprcrt='99.23', rmrk='정상'), Row(opengRank='', prcbdrBizno='1060836461', prcbdrNm='참좋은영상', bidprcAmt='190850000', bidprcrt='97.871', rmrk='협상평가부적격자'), Row(opengRank='', prcbdrBizno='1817000146', prcbdrNm='다락컴퍼니', bidprcAmt='195000000', bidprcrt='100', rmrk='협상평가부적격자'), Row(opengRank='', prcbdrBizno='8493001774', prcbdrNm='스토리쓰다', bidprcAmt='181350000', bidprcrt='93', rmrk='협상평가부적격자')]",NaN
R25BK00682006,000,2025년 경남 마산로봇랜드 테마파크 상반기 불꽃쇼 개최 용역,,2025-03-17 11:00:00,(재)경남로봇랜드재단,(재)경남로봇랜드재단,,2025-03-05 10:00:00,2025-03-16 18:00,2025-03-17 10:00:00,56000000,비예가,,이지현,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00682006&bidPbancOrd=000,기타자유업(행사대행업)/9901,"[Row(opengRank='1', prcbdrBizno='8593100293', prcbdrNm='윤앤코', bidprcAmt='60005000', bidprcrt='97.41', rmrk='정상'), Row(opengRank='2', prcbdrBizno='1468601255', prcbdrNm='주식회사 파이로심', bidprcAmt='60000000', bidprcrt='97.402', rmrk='정상')]",NaN
R25BK00687609,000,2025년 예산군 지하시설물 전산화사업(협상에 의한 계약),,2025-03-17 17:00:00,충청남도 예산군,충청남도 예산군,,,,,252727273,비예가,,정지영,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00687609&bidPbancOrd=000,소프트웨어사업자(컴퓨터관련서비스사업)/1468,"[Row(opengRank='', prcbdrBizno='4028162555', prcbdrNm='주식회사 올포랜드', bidprcAmt='', bidprcrt='', rmrk=''), Row(opengRank='', prcbdrBizno='1428128543', prcbdrNm='주식회사 삼인공간정보', bidprcAmt='', bidprcrt='', rmrk='')]",NaN
R25BK00723644,000,한국지질자원연구원 정수기 임차 용역,84.436,2025-03-28 11:00:00,조달청 대전지방조달청,한국지질자원연구원,,2025-03-26 10:00:00,2025-03-27 18:00,2025-03-28 10:00:00,130877386,복수예가,84.245,이상민,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00723644&bidPbancOrd=000,기타자유업종/9999,"[Row(opengRank='1', prcbdrBizno='4902501243', prcbdrNm='위즈원텍', bidprcAmt='117893530', bidprcrt='84.436', rmrk='정상'), Row(opengRank='2', prcbdrBizno='2191264601', prcbdrNm='제이엘상사', bidprcAmt='118327990', bidprcrt='84.747', rmrk='정상'), Row(opengRank='3', prcbdrBizno='6182891704', prcbdrNm='제이엘글로벌', bidprcAmt='118356957', bidprcrt='84.768', rmrk='정상'), Row(opengRank='4', prcbdrBizno='4812501875', prcbdrNm='와이에스', bidprcAmt='118459277', bidprcrt='84.841', rmrk='정상'), Row(opengRank='5', prcbdrBizno='7814100460', prcbdrNm='다온산업', bidprcAmt='118465890', bidprcrt='84.846', rmrk='정상')]",대전광역시
R25BK00724140,000,하동군 경관기본계획 재정비용역,87.964,2025-03-25 11:00:00,경상남도 하동군,경상남도 하동군,,2025-03-20 10:00:00,2025-03-24 18:00,2025-03-25 10:00:00,181818182,복수예가,87.745,김수양,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00724140&bidPbancOrd=000,엔지니어링사업(도시계획)/3583,"[Row(opengRank='1', prcbdrBizno='6098161346', prcbdrNm='주식회사 로텍엔지니어링', bidprcAmt='175385000', bidprcrt='87.767', rmrk='정상'), Row(opengRank='2', prcbdrBizno='6228118556', prcbdrNm='주식회사 동광종합기술공사', bidprcAmt='175780000', bidprcrt='87.964', rmrk='정상'), Row(opengRank='3', prcbdrBizno='4798100317', prcbdrNm='주식회사 유진이엔씨', bidprcAmt='175876000', bidprcrt='88.013', rmrk='정상'), Row(opengRank='4', prcbdrBizno='6228114531', prcbdrNm='주식회사 한성개발공사', bidprcAmt='176560000', bidprcrt='88.355', rmrk='정상'), Row(opengRank='5', prcbdrBizno='6218152037', prcbdrNm='주식회사 조은이엔지', bidprcAmt='176849000', bidprcrt='88.499', rmrk='정상')]",경상남도
R25BK00734244,000,화산~경천(2공구)지방도 확포장공사 재해예방기술지도용역,90.006,2025-03-27 14:00:00,전북특별자치도,전북특별자치도,,2025-03-25 10:00:00,2025-03-26 18:00,2025-03-27 12:00:00,18763636,복수예가,90,박은영,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00734244&bidPbancOrd=000,건설재해예방 전문지도기관/5612,"[Row(opengRank='1', prcbdrBizno='5478102898', prcbdrNm='유탑건설안전기술원(주)', bidprcAmt='18546900', bidprcrt='90.006', rmrk='정상'), Row(opengRank='2', prcbdrBizno='4188116435', prcbdrNm='주식회사 한가람', bidprcAmt='18551000', bidprcrt='90.026', rmrk='정상'), Row(opengRank='3', prcbdrBizno='2968701033', prcbdrNm='(주)산업안전보건협회', bidprcAmt='18557000', bidprcrt='90.055', rmrk='정상'), Row(opengRank='4', prcbdrBizno='1631302158', prcbdrNm='재해예방기술지도기관 SS Safety', bidprcAmt='18590000', bidprcrt='90.216', rmrk='정상'), Row(opengRank='5', prcbdrBizno='3816700519', prcbdrNm='지안건설기술원', bidprcAmt='18591500', bidprcrt='90.223', rmrk='정상')]",전북특별자치도
R25BK00739118,000,전도마을 광역상수도 급수구역 확장공사 교체공사 건설폐기물처리용역,87.792,2025-03-31 11:00:00,경상남도 하동군,경상남도 하동군,,2025-03-27 10:00:00,2025-03-30 18:00,2025-03-31 10:00:00,110985455,복수예가,87.745,김수양,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00739118&bidPbancOrd=000,건설폐기물 중간처리업/1253,"[Row(opengRank='1', prcbdrBizno='7258101766', prcbdrNm='주식회사미산환경', bidprcAmt='106550000', bidprcrt='87.792', rmrk='정상'), Row(opengRank='2', prcbdrBizno='8688700222', prcbdrNm='주식회사 탑리사이클링', bidprcAmt='106587000', bidprcrt='87.822', rmrk='정상'), Row(opengRank='3', prcbdrBizno='6138174985', prcbdrNm='주식회사 토지환경', bidprcAmt='106605210', bidprcrt='87.837', rmrk='정상'), Row(opengRank='4', prcbdrBizno='6118120275', prcbdrNm='주식회사 은창환경', bidprcAmt='106608000', bidprcrt='87.839', rmrk='정상'), Row(opengRank='5', prcbdrBizno='6158606829', prcbdrNm='주식회사 그린디씨알', bidprcAmt='106713000', bidprcrt='87.926', rmrk='정상')]",경상남도
R25BK00740801,000,통영 중앙동 근대주택1 보수공사 설계용역,88.411,2025-04-01 14:00:00,경상남도 통영시,경상남도 통영시,,2025-03-30 10:00:00,2025-03-31 18:00,2025-04-01 11:00:00,23181818,복수예가,88,백종록,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00740801&bidPbancOrd=000,국가유산실측설계업/1121,"[Row(opengRank='1', prcbdrBizno='1408126651', prcbdrNm='주식회사 미추홀건축사사무소', bidprcAmt='22500000', bidprcrt='88.411', rmrk='정상'), Row(opengRank='2', prcbdrBizno='6040232201', prcbdrNm='동남종합건축사사무소', bidprcAmt='22603000', bidprcrt='88.816', rmrk='정상'), Row(opengRank='3', prcbdrBizno='3128146475', prcbdrNm='주식회사 현창종합건축사사무소', bidprcAmt='23457000', bidprcrt='92.171', rmrk='정상'), Row(opengRank='', prcbdrBizno='1358147561', prcbdrNm='주식회사 세안건축사사무소', bidprcAmt='22289250', bidprcrt='87.583', rmrk='낙찰하한선 미달')]",경상남도
R25BK00740854,000,통영 중앙동 근대주택2 보수공사 설계용역,88.03,2025-04-01 14:00:00,경상남도 통영시,경상남도 통영시,,2025-03-30 10:00:00,2025-03-31 18:00,2025-04-01 11:00:00,30909091,복수예가,88,백종록,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00740854&bidPbancOrd=000,국가유산실측설계업/1121,"[Row(opengRank='1', prcbdrBizno='1408126651', prcbdrNm='주식회사 미추홀건축사사무소', bidprcAmt='30000000', bidprcrt='88.03', rmrk='정상'), Row(opengRank='2', prcbdrBizno='6040232201', prcbdrNm='동남종합건축사사무소', bidprcAmt='30138000', bidprcrt='88.435', rmrk='정상'), Row(opengRank='3', prcbdrBizno='3128146475', prcbdrNm='주식회사 현창종합건축사사무소', bidprcAmt='32294000', bidprcrt='94.762', rmrk='정상'), Row(opengRank='', prcbdrBizno='1358147561', prcbdrNm='주식회사 세안건축사사무소', bidprcAmt='29719000', bidprcrt='87.206', rmrk='낙찰하한선 미달')]",경상남도
R25BK00743720,000,벌곡면 어곡리 어곡교 철거공사 폐기물 처리 및 운반용역,89.025,2025-04-01 15:00:00,충청남도 논산시,충청남도 논산시,,2025-03-28 14:00:00,2025-03-31 18:00,2025-04-01 14:00:00,24454545,복수예가,88,안성택,https://www.g2b.go.kr/link/PNPE027_01/single/?bidPbancNo=R25BK00743720&bidPbancOrd=000,NaN,"[Row(opengRank='1', prcbdrBizno='3088109656', prcbdrNm='대형환경(주)', bidprcAmt='23773000', bidprcrt='89.025', rmrk='정상'), Row(opengRank='2', prcbdrBizno='3088116254', prcbdrNm='(주)동양알디', bidprcAmt='24143000', bidprcrt='90.411', rmrk='정상'), Row(opengRank='3', prcbdrBizno='3088105970', prcbdrNm='놀뫼환경 주식회사', bidprcAmt='24358000', bidprcrt='91.216', rmrk='정상')]",충청남도 논산시
